2#-1 1
2#+1 3
3#-1 5
3#+1 7
5#-1 29
5#+1 31
7#-1 11.19
7#+1 211
11#-1 2309
11#+1 2311
13#-1 30029
13#+1 59.509
17#-1 61.8369
17#+1 19.97.277
19#-1 53.197.929
19#+1 347.27953
23#-1 37.131.46027
23#+1 317.703763
29#-1 79.81894851
29#+1 331.571.34231
31#-1 228737.876817
31#+1 200560490131
37#-1 229.541.1549.38669
37#+1 181.60611.676421
41#-1 304250263527209
41#+1 61.450451.11072701
43#-1 141269.92608862041
43#+1 167.78339888213593
47#-1 191.53835557.59799107
47#+1 953.46727.13808181181
53#-1 87337.326257.1143707681
53#+1 73.139.173.18564761860301
59#-1 27600124633.69664915493
59#+1 277.3467.105229.19026377261
61#-1 1193.85738903.1146665184811
61#+1 223.525956867082542470777
67#-1 163.2682037.17975352936245519
67#+1 54730729297.143581524529603
71#-1 260681003321.2140320249725509
71#+1 1063.303049.598841.2892214489673
73#-1 313.130126775077472920609013813
73#+1 2521.16156160491570418147806951
79#-1 163.2843.154050371.45072420668688011
79#+1 22093.1503181961.96888414202798247
83#-1 139.26417.72730720785932715377476303
83#+1 265739.1004988035964897329167431269
89#-1 23768741896345550770650537601358309
89#+1 131.1039.2719.64225891884294373371806141
97#-1 66683.34575048572282567142346657278943
97#+1 2336993.13848803.71237436024091007473549
101#-1 2990092035859.77877992237653703381046191
101#+1 960703.242387464553038099079594127301057
103#-1 15649.142067.4599659.2345476528134511293575297
103#+1 2297.9700398839.179365737007.6001315443334531
107#-1 17515703.21871237.2463838256443.2718987378107653
107#+1 149.13203797.30501264491063137.42767843651083711
109#-1 719.2963.33637693242743.3903552776732446839822199
109#+1 334507.1290433.648046444234299714623177554034701
113#-1 295201.567840892706882863.188573541523110659271203
113#+1 5122427.2025436786007.3046707595069540247157055819
127#-1 15098753.53836523233421347.4938679937132087522704219
127#+1 1543.49999.552001.57900988201093.1628080529999073967231
131#-1 10172884549.141929971892850488111.364235297758479811711
131#+1 1951.22993.11723231859473014144932345466415143728266617
137#-1 20962699238647.245652323403761.13991128678227301652750227
137#+1 881.1657.32633677.160823938621.5330099340103.1764291759303233
139#-1 4871.20988504343363646127926611.97957120305761011573774669
139#+1 678279959005528882498681487.14764768614544245139224580493
149#-1 673.448045542064369.4948626474214096948642213863754187837657
149#+1 87549524399.65018161573521013453.262140076844134219184937113
151#-1 311.409.24083.73553706686333095518730694000692449365670934668377
151#+1 23269086799180847.9683213481319911991636641541802024271084713
157#-1 1409.212909.41204155505831.2861886907783199742338113523322848541079
157#+1 1381.1867.8311930927.38893867968570583.42440201875440880489113304753
163#-1 1291.2565890287.5869655087.296557694065995104962797259705798672615771
163#+1 1361.214114727210560829.32267019267402210517.613228865630544238382107
167#-1 331.443.2324921219.9966924050498910251857.283401055985955918267159853871
167#+1 205590139.53252429177.7064576339566763.12450154709928940906197946067239
173#-1 1450184819.70130101304951.1638026247818646257156883948600783993669082361
173#+1 62614127.2660580156093611580352333193927566158528098772260689062181793
179#-1 23497.10508085821.31376977774573.962389165640406763213.3999482907847590539053
179#+1 601.1651781.8564177.358995947.1525310189119.6405328664096618954809029861252251
181#-1 711427.38746702321.1231393632556286622892198907.159007749176630852731456588081
181#+1 107453.5634838141.8914157280964101123344891396571257163632974628403174028667
191#-1 521.483209.1581363911.15414974591.167983364727493722092082036634615876332828972101
191#+1 32999.175603474759.77148541513247.2305961466437323959598530415862423316227152033
193#-1 673.65473937.566471804985844321.7970932666248247010325264452352519508898124959389
193#+1 21639496447.7979125905967339495018877.1152307771625979758044020162101777453615909
197#-1 519577.13170522280541.10639208937288223.538362662677203010991550544007317482510669199
197#+1 521831.50257723.1601684368321.39081170243262541027.23875913958369977158572653160969521
199#-1 1372062943.4784328604523758357.619780408302187874237918207.1917155688123066068833010437
199#+1 467.10723.57622771.5876645549.9458145520867.486325954430626096097192220405214947865503847
211#-1 56543.110654059.70587793986617.3726463840328519708955785856251034118841937896031402681521
211#+1 1051.2179.16333.43283699.75311908487.292812710684839.46096596672866469293430334044872907384889
223#-1 811.452539743313602856307070980949613726682861051732838202983307591911206009014990958339
223#+1 13867889468159.26464714235716608676791598492896703564888100036053342930619468037572880509
227#-1 182309.75057984242015536975478208351523.6088333474283624722328621746162649181063845927002987
227#+1 3187.31223.1737142793.11463039340315601.973104505470446969309113.43206785807567189232875099500379
229#-1 53077.5497565129461239035650709608982319328127.65382597325385594194761858806000088115488872791
229#+1 126173.495056820952423648923564303249326797.305434043708697333924965376193237456156781510023511
233#-1 641.6934845842858323616488675186101891665260877757764717330774495224187457259718565991313618509
233#+1 5981.32933.35077871.226523119.2840167705774046480858712270590480570610404353713803822775742139334623
239#-1 349.9491.39993893.8019765344850489916354039549328805566158123718958954926940830834453320958625844667
239#+1 313.7174645079748110122986720794600650220537699.473094590676495325683498520561997542595205386365913
241#-1 389.89644308483145450484697016758269.7342390217536879111656170866328130575089802700065339680592709569
241#+1 3499.23154953.14209707448699806612680132420076872871953.222401033703390757472499600738273084231948675841
251#-1 565921.91679677.15700021586055397160311310308325895690972977.78895888605502981375277514467299502661142681
251#+1 2963206058339377313.21688107290764790038754426395595965744305505433624069834793285242480984193453938087
257#-1 777041.21255567011139079832581515330109254622209391723272731407172727025975237657402042762478397653420149
257#+1 34259.948293.3733159.335215943.62633748760943.6486192645863726521893797291785753514728160420630208237473285383
